,questions_id,answers_id,professionals_industry,industry_codes
0,0914db8647f14ed18ab2a7b321d0b81d,72798b8492314e12980a1503633d6569,Other,274
1,2c5bd5eb628245acb868c81fefcfe5e0,281c2557f0154dde984707e40100b8b4,Other,274
2,2f2378acab3f444199ee2b69d2d3626f,63b7a06323ee4d578a37cf780debfa58,Other,274
3,333464d7484b43e3866e86096bc4ddb9,683b200ad5014e84a441db677f990d75,Other,274
4,5bd585028efe49f4b89701b84e6fbe8c,d0388adf192c4683a1d9a079f88fbd52,Other,274
5,82acf6d8608b4743848d0c8c4e5c610b,ae8d6e375f804c698c324def1a3bf4f9,Other,274
6,b3534776e3854e8bb73d8a1b1be3511f,f46ad30f5220449f9ac36f66f49ba310,Other,274
7,d98717b213984ed1a715bd88367d6258,a836064f4eaf491eaeb4142e8d4cd752,Other,274
8,7f00ff6f131243c880ced983e171a085,9a2997e6ddd94c8b9a2bc00044c434d0,Other,274
9,e999912603ee4a5c908c4aa68f8f46ba,ea0d1620028e49edbce31e248e0a78e3,Other,274
10,06ab800396e0457a973affbfa935777b,490f211ff2874a24a0ec8664e590accf,Other,274
11,54daae9f120c4c1db36044da58827c83,574bd06c5e344a938795c3bbf92d0014,Other,274
12,0284380052104b3aba7e485541a36915,66172aaca725498c8042546576b7f31c,Other,274
13,0ca75abcca7d4abe91c55e282ae2a888,c5ca2fe19b8945acb9c060588ae845fd,Other,274
14,1141d4e37d1340bcb26dbb4ba84a2311,16827dbae85a4a9db4de5af5633173b7,Other,274
15,239774c8ab1c4d49a661c25a9ed7d4a1,2129421917ff4bec8e1d4d35bf059a0d,Other,274
16,2e5833f6e19e417ca6124e88a07b103d,07d6b508c024480689da399897f01128,Other,274
17,3359b5a733464520934c95d81f33047d,83da9e574bcd4b7e9b04694062072931,Other,274
18,3bc6f8ee03e9408db41defb92f03e91e,eb00049a353341ddb604e9db07e3cc1d,Other,274
19,57b71988f87446b3be35ae40ef98cb9d,32c7202096954fe59aaa3de090eff073,Other,274
20,5814bf0c788148f1b124a99fbef43080,de648e8b351d4db888f4f71bc4c2c380,Other,274
21,585833caefe84e15a0276710632a96e2,e78bc11b17d847fcb1fb391fbd8ae88a,Other,274
22,5da4e4e611854c9ca99e9c3d4413d80b,aa9952d1854d4e5696ebf94f413cd7d5,Other,274
23,6f2fa869d1904c949126818b33756ffa,c5b4c1b30a124b25a492056148ee4a2c,Other,274
